Marca,Modelo,Ano,Cor,Km rodados,Preço,Potencia (cv),Combustível,Automatico,Qtd de Portas,Veiculo Vendido
Renault,Clio,2005,Preto,150000,"R$ 12.000,00",80,Alcool,Não,2,Gol
Volkswagen,Gol,2012,Prata,125000,"R$ 27.490,00",76,Flex,Não,4,Kwid
Fiat,Palio,2016,Prata,78000,"R$ 31.000,00",80,Gasolina,Não,4,Palio
Peugeot,408,2013,Verde,80000,"R$ 33.000,00",173,Gasolina,Não,4,HB20S
Ford,F1000,1997,Vermelha,200000,"R$ 37.700,00",86,Diesel,Não,2,F1000
Kia,Cerato,2015,Preto,115000,"R$ 45.999,00",141,Gasolina,Sim,4,Civic
Hyundai,Veloster,2016,Vermelha,110000,"R$ 75.000,00",118,Flex,Sim,3,Veloster
Citroen,C3,2023,Branco,0,"R$ 82.490,00",82,Flex,Não,4,Polo
Nissan,Kicks,2020,Branco,65000,"R$ 86.000,00",113,Flex,Sim,4,Tracker
Volkswagen,Saveiro,2023,Prata,0,"R$ 89.000,00",110,Flex,Não,2,Strada
Chevrolet,Tracker,2019,Vermelha,27500,"R$ 98.000,00",127,Flex,Sim,4,Tracker
Honda,Civic Touring,2018,Preto,65000,"R$ 129.170,00",173,Gasolina,Sim,4,Civic
